level,target,dropped_block,cv_mae,cv_mae_std,cv_r2,cv_pearson,test_mae,test_rmse,test_r2,test_pearson,front_cv_mae,front_cv_r2,front_test_mae,front_test_r2,delta_cv_mae,delta_cv_r2,delta_test_mae,delta_test_r2,seconds
SCALED,LANGUAGE_ST_SCALED_SUM,BEH,30.94188575744629,2.012729547952967,0.09805520464146585,0.3970974755985377,34.19819259643555,40.4748649597168,-0.10501602915063946,0.10741824563863168,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,1.0331214904785213,-0.07618042124023276,0.7923736572265625,-0.07227548251364826,2.0829460620880127
SCALED,LANGUAGE_ST_SCALED_SUM,EEG,29.72738037109375,2.778227419260435,0.18788431780061712,0.47487173501924396,33.46989822387695,39.23070526123047,-0.03812583633881195,0.2077217033201828,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,-0.18138389587401704,0.013648691918918515,0.06407928466796875,-0.005385289701820749,2.188693046569824
SCALED,LANGUAGE_ST_SCALED_SUM,MRI,29.796017837524413,2.558099765984381,0.1801786673296043,0.4706982939040829,33.40943908691406,39.13247299194336,-0.03293356557699001,0.2125849951215219,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,-0.11274642944335511,0.005943041447905695,0.003620147705078125,-0.0001930189399988111,2.048342227935791
SCALED,LANGUAGE_ST_SCALED_SUM,DTI,30.190659713745116,2.4849090754905214,0.16688359249547532,0.45614082852317467,33.01419448852539,38.80145263671875,-0.015532448567192825,0.22493925811652007,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,0.281895446777348,-0.007352033386223283,-0.39162445068359375,0.017208098069798373,2.4398767948150635
SCALED,LANGUAGE_ST_SCALED_SUM,DL,29.824451446533203,2.57670785684629,0.17714415149303808,0.4672791958802172,33.21940994262695,38.92021560668945,-0.02175844298545271,0.21732068932786952,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,-0.08431282043456534,0.002908525611339474,-0.18640899658203125,0.01098210365153849,2.5225844383239746
SCALED,LANGUAGE_ST_SCALED_SUM,FC,29.83288688659668,2.709581517774646,0.18386166134055684,0.4724058710714073,33.537353515625,39.00851821899414,-0.02640015019937314,0.22059744792324198,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,-0.07587738037108949,0.009626035458858234,0.13153457641601562,0.006340396437618058,2.352128028869629
SCALED,LANGUAGE_ST_SCALED_SUM,SEX,30.175474166870117,2.3275826322601993,0.15989679210287044,0.45301389540432685,33.180904388427734,38.71333312988281,-0.010924872003932329,0.23133939296477699,29.90876426696777,0.1742356258816986,33.405818939208984,-0.0327405466369912,0.2667098999023487,-0.014338833778828164,-0.22491455078125,0.02181567463305887,2.480675220489502
SCALED,MEMORY_ST_SCALED_AudImm,BEH,12.037007331848145,0.6785270315013125,0.31440392170950787,0.5822348805412458,13.168787956237793,15.547301292419434,0.20950875375300104,0.5154945029720557,11.224492645263672,0.4179691813577769,11.886703491210938,0.3557198427685217,0.812514686584473,-0.10356525964826901,1.2820844650268555,-0.14621108901552066,1.9503462314605713
SCALED,MEMORY_ST_SCALED_AudImm,EEG,11.17509059906006,0.5222928453061648,0.42284987465172863,0.6614628616974318,11.89444637298584,14.03934097290039,0.3554145894026578,0.6121079518039869,11.224492645263672,0.4179691813577769,11.886703491210938,0.3557198427685217,-0.049402046203612215,0.004880693293951743,0.007742881774902344,-0.00030525336586390006,2.16853666305542
SCALED,MEMORY_ST_SCALED_AudImm,MRI,11.21578369140625,0.5861799233004598,0.41968913732812163,0.6581524931134111,11.900986671447754,13.975406646728516,0.3612720375662172,0.6153515220640298,11.224492645263672,0.4179691813577769,11.886703491210938,0.3557198427685217,-0.008708953857421875,0.0017199559703447442,0.014283180236816406,0.0055521947976954755,2.086697578430176
SCALED,MEMORY_ST_SCALED_AudImm,DTI,11.336975479125977,0.517954644446149,0.41038205974035913,0.6531204172092224,11.659687995910645,13.718096733093262,0.3845754954332685,0.6313358898645776,11.224492645263672,0.4179691813577769,11.886703491210938,0.3557198427685217,0.1124828338623054,-0.007587121617417758,-0.22701549530029297,0.028855652664746823,2.312350034713745
SCALED,MEMORY_ST_SCALED_AudImm,DL,11.190970039367675,0.5685130404985151,0.42039184055715834,0.6585891911278213,11.9383544921875,14.159701347351074,0.344315027415243,0.6040361484681631,11.224492645263672,0.4179691813577769,11.886703491210938,0.3557198427685217,-0.033522605895996094,0.0024226591993814495,0.0516510009765625,-0.011404815353278697,2.370121717453003
