target,dropped_block,cv_mae,cv_mae_std,cv_r2,cv_pearson,test_mae,test_rmse,test_r2,test_pearson,front_cv_mae,front_cv_r2,front_test_mae,front_test_r2,delta_cv_mae,delta_cv_r2,delta_test_mae,delta_test_r2,seconds
LANGUAGE_ST_NORM_VCI,BEH,9.810211372375488,0.8590016538248322,0.06434932685017403,0.2910220794888638,10.28635025024414,12.218003273010254,0.14091575469304873,0.43313574732737964,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,0.050349426269532316,-0.016828192237434078,0.09682273864746094,-0.01173668974651626,2.071653366088867
LANGUAGE_ST_NORM_VCI,EEG,9.765520668029785,0.9761446059984112,0.07482485814728579,0.314792570389796,10.204647064208984,12.204607963562012,0.1427984503996268,0.41445214203410874,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,0.005658721923829546,-0.006352660940322316,0.015119552612304688,-0.009853994039938196,2.067167282104492
LANGUAGE_ST_NORM_VCI,MRI,9.755020332336425,0.9491896883268051,0.08674303179278153,0.3338818783328876,10.148468971252441,12.095115661621094,0.15811004013324337,0.4339905847163109,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,-0.004841613769530184,0.005565512705173428,-0.04105854034423828,0.005457595693678374,1.791860818862915
LANGUAGE_ST_NORM_VCI,DTI,9.98289680480957,0.837835194482709,0.05516822737606304,0.29353117502431136,10.379605293273926,12.289599418640137,0.1308179446974963,0.40884585492237846,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,0.22303485870361506,-0.026009291711545063,0.1900777816772461,-0.02183449974206869,2.281249761581421
LANGUAGE_ST_NORM_VCI,DL,9.708272743225098,0.9369253044921971,0.07846329531798939,0.32571697689490264,10.213698387145996,12.191389083862305,0.1446543531440495,0.4206085997087533,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,-0.05158920288085689,-0.0027142237696187177,0.024170875549316406,-0.007998091295515486,2.375741720199585
LANGUAGE_ST_NORM_VCI,FC,9.749635124206543,0.9732719374742022,0.07585964669136014,0.31725304981504704,10.146692276000977,12.072175979614258,0.16130049378775768,0.43811047548693094,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,-0.010226821899411931,-0.005317872396247966,-0.042835235595703125,0.008648049348192688,2.424685001373291
LANGUAGE_ST_NORM_VCI,DEMO,9.7222469329834,0.9735785214679413,0.0787643491146344,0.3198300169981501,10.129185676574707,12.095168113708496,0.15810272108016676,0.4343646510132832,9.759861946105955,0.0811775190876081,10.18952751159668,0.152652444439565,-0.03761501312255611,-0.0024131699729737083,-0.060341835021972656,0.00545027664060177,2.4886386394500732
MEMORY_ST_NORM_AudImm,BEH,9.855928039550781,0.35144992017910515,0.08063386395199754,0.32575585071686314,10.492340087890625,12.73758316040039,0.081571645211868,0.3781160539542796,9.76925220489502,0.104206567509424,10.23052215576172,0.1036042956221514,0.08667583465576101,-0.023572703557426467,0.2618179321289045,-0.022032650410283405,2.0753681659698486
MEMORY_ST_NORM_AudImm,EEG,9.743736839294433,0.33209181941513216,0.10598800253515608,0.36724849346534777,10.208788871765137,12.537579536437988,0.11018722832249406,0.412785519137389,9.76925220489502,0.104206567509424,10.23052215576172,0.1036042956221514,-0.025515365600586648,0.001781435025732081,-0.021733283996583808,0.0065829327003426585,2.161759376525879
MEMORY_ST_NORM_AudImm,MRI,9.672764587402344,0.14127970629916287,0.12077675423630688,0.38543938238580305,10.259761810302734,12.592423439025879,0.10238555540871253,0.4069487762689673,9.76925220489502,0.104206567509424,10.23052215576172,0.1036042956221514,-0.09648761749267543,0.016570186726882874,0.02923965454101385,-0.0012187402134388736,1.979696273803711
