target,feature,category,n,pearson_r,p_raw,ci_lo,ci_hi,q_fdr
LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Agreeableness,Q,425,-0.014113259737168262,0.7717322001533233,-0.10908964534319177,0.08111847900439503,0.8388393479927427
LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Conscientiousness,Q,425,0.07136668938211056,0.14188642949971056,-0.023918521667950558,0.16536691692270164,0.2086565139701626
LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_EmotionalStability,Q,425,0.17148714491117906,0.0003834392186538676,0.07763064495992426,0.2623307531865364,0.0007668784373077352
LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Extraversion,Q,423,-0.0011833412264900564,0.9806406512562871,-0.09652013075042369,0.09417496420386424,0.9957569816596012
LANGUAGE_ST_NORM_VCI,BASIC_Q_BFI_Intellect,Q,425,-0.12337186628679032,0.010908472088095216,-0.21596030572830638,-0.02858448122646538,0.01947941444302717
LANGUAGE_ST_NORM_VCI,BASIC_Q_Beck_Anxiety,Q,425,-0.04396881736870299,0.36588505326146337,-0.13851233574380795,0.051368867495349795,0.45170994229810296
LANGUAGE_ST_NORM_VCI,BASIC_Q_Beck_Depression,Q,425,-0.046294574842213915,0.3410529491429103,-0.14079738715075274,0.04904423758647724,0.4263161864286379
LANGUAGE_ST_NORM_VCI,BASIC_Q_CogFailure_Sum,Q,425,-0.04154378134163551,0.3929424008523916,-0.1361286709080323,0.05379162811594715,0.4768705257446695
LANGUAGE_ST_NORM_VCI,BASIC_Q_EHI_Sum,Q,425,0.06501657838896537,0.18095532807717998,-0.03029361204152624,0.15915511154951695,0.2622540986625797
LANGUAGE_ST_NORM_VCI,BASIC_Q_IPAQ_MET,Q,425,0.10246525794403966,0.034710895627577475,0.007414689611999572,0.19568083641260234,0.05509665972631345
LANGUAGE_ST_NORM_VCI,BASIC_Q_MOCA_SUM,Q,427,-0.2126354976317021,9.34509910432261e-06,-0.3014520693618065,-0.12016064272885289,2.2250235962672882e-05
LANGUAGE_ST_NORM_VCI,BASIC_Q_MSPSS_Sum,Q,425,-0.02262709792642171,0.6418202449420087,-0.1174970404548248,0.07265211284786306,0.7211463426314705
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_DaytimeDysfunc,Q,425,-0.1180158900262589,0.0149203382849226,-0.2107725932801358,-0.023152967662685705,0.02528870895749593
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepDisturbance,Q,425,0.052551436980209885,0.2797273869361157,-0.04278527758001564,0.14693974615896324,0.3729698492481543
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepDuration,Q,425,-0.05583420822348543,0.2507383706660747,-0.15015953240605237,0.03949840983566611,0.3482477370362148
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepEfficiency,Q,425,0.005794510357803139,0.9051913210540197,-0.08937759142652534,0.10086175406621682,0.9629694904829996
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepLatency,Q,425,-0.05314241635516154,0.27434773182336186,-0.14751953436008702,0.042193713013753374,0.3707401781396782
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepMedication,Q,425,0.09636242938237051,0.04710733621788888,0.0012510592002343735,0.18974600443021244,0.07360521284045138
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_SleepQuality,Q,423,-0.10903311670900152,0.024926884451873556,-0.20227790432990653,-0.013829206113824905,0.040204652341731546
LANGUAGE_ST_NORM_VCI,BASIC_Q_PSQI_Sum,Q,425,-0.05392461227310166,0.26733637605748695,-0.1482868183776907,0.04141063976157466,0.3662142137773794
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_EmotionalLimit,Q,425,0.050080323226749095,0.3029921335925709,-0.04525811431006881,0.1445147242439644,0.3934962773929492
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_EmotionalWell,Q,425,0.17432140448520192,0.0003052213527996329,0.08053397686913123,0.26504921033988005,0.0006229007199992508
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Energy,Q,425,0.23481446184811897,9.821759247424553e-07,0.14288309200684265,0.3227287596593405,2.8062169278355866e-06
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_GeneralHealth,Q,425,0.041293460321162184,0.3958025363680757,-0.05404165036591902,0.13588255800027668,0.4768705257446695
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Mental,Q,425,0.15960766188389225,0.0009603343074590507,0.06547894738914944,0.2509209342482252,0.0018467967451135591
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Pain,Q,425,0.024253354407582244,0.6180636792762914,-0.07103336068341633,0.11910141945418083,0.7023450900866947
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_Physical,Q,425,0.003956581830862448,0.9351818115544397,-0.09120058026302125,0.09904214392738171,0.9844019068994102
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_PhysicalFunct,Q,424,-0.10982019568027729,0.02372802230239427,-0.2029328350552028,-0.014739290288839118,0.03889839721703979
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_PhysicalLimit,Q,425,0.00863674455940976,0.859092124894402,-0.08655720438048788,0.10367440840371349,0.9237549730047334
LANGUAGE_ST_NORM_VCI,BASIC_Q_SF36_SocialFunc,Q,425,0.05204544352425625,0.2843898312526003,-0.043291718959495316,0.14644328298365478,0.3741971463850004
LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_SIMILARITY,ST,427,-0.35229450743111856,6.368887217277901e-14,-0.4327269007042228,-0.2662979619582103,4.899144029429832e-13
LANGUAGE_ST_NORM_VCI,LANGUAGE_ST_RAW_VOCABULARY,ST,427,-0.21165806742327234,1.0291816424986754e-05,-0.300521296897611,-0.11915180287264411,2.2870703181888097e-05
